colonies_number,yield_per_colony,stocks,average_price
26000,30,195000,153
4000,65,73000,310
5000,37,37000,332
71000,37,1077000,157
5000,40,40000,239
64000,64,1556000,168
34000,36,282000,159
9000,50,63000,251
23000,53,427000,155
22000,64,239000,162
370000,48,3730000,165
31000,55,443000,200
180000,61,988000,168
65000,43,196000,165
9000,74,246000,365
87000,36,1879000,178
7000,50,98000,390
8000,51,147000,214
25000,62,961000,196
7000,44,117000,215
4000,39,12000,317
36000,77,471000,167
4000,30,17000,198
74000,64,2084000,181
120000,53,2099000,163
18000,115,104000,153
8000,43,76000,214
145000,92,3202000,170
41000,59,653000,175
11000,41,135000,370
7000,56,153000,169
49000,56,1235000,196
14000,62,95000,283
460000,71,7512000,167
15000,66,228000,234
60000,34,755000,168
24000,44,306000,255
250000,66,4290000,170
7000,44,68000,293
78000,58,633000,178
23000,39,170000,175
4000,43,43000,231
4000,40,21000,407
71000,38,836000,193
4000,53,45000,257
57000,63,1508000,189
35000,54,265000,172
8000,54,65000,247
22000,46,253000,179
25000,63,189000,198
330000,35,3119000,194
25000,48,468000,207
193000,64,1235000,184
59000,51,181000,192
10000,75,263000,415
92000,32,530000,163
7000,61,145000,355
8000,59,203000,254
37000,61,1196000,217
6000,55,125000,228
5000,51,41000,315
41000,86,141000,183
4000,34,24000,239
73000,57,1332000,203
125000,67,1591000,192
18000,118,64000,177
7000,53,108000,280
145000,52,2413000,195
43000,65,1146000,193
14000,33,51000,197
5000,52,99000,339
51000,51,988000,223
13000,39,106000,376
480000,69,5962000,192
18000,60,410000,246
60000,32,845000,216
16000,60,269000,257
260000,63,3604000,195
6000,61,59000,293
92000,52,718000,200
25000,38,209000,187
4000,60,53000,239
4000,41,23000,377
62000,41,1017000,238
6000,48,95000,291
60000,69,1863000,205
50000,51,459000,187
7000,52,55000,285
29000,36,251000,196
22000,60,66000,202
330000,33,2505000,211
26000,43,324000,210
220000,61,1074000,203
67000,50,637000,226
13000,83,65000,197
83000,32,1036000,202
7000,48,101000,419
6000,47,82000,277
39000,48,1217000,245
6000,46,39000,250
3000,41,17000,325
50000,98,490000,189
7000,43,27000,314
85000,55,982000,216
130000,58,1282000,199
17000,116,39000,186
10000,47,85000,262
159000,94,5231000,209
46000,60,1628000,207
11000,44,34000,419
55000,48,1030000,212
10000,38,84000,367
480000,69,6955000,204
17000,45,390000,329
62000,35,456000,239
13000,45,257000,303
265000,56,6381000,207
7000,45,63000,355
106000,59,1689000,210
30000,34,92000,209
3000,51,46000,389
5000,35,42000,450
69000,39,1023000,230
6000,46,83000,366
59000,60,1558000,238
47000,66,558000,211
7000,53,26000,353
26000,39,193000,192
21000,65,137000,204
320000,39,2995000,206
27000,37,200000,211
245000,60,1029000,208
73000,62,362000,219
15000,93,140000,229
100000,34,850000,203
8000,49,94000,411
5000,62,115000,319
35000,43,933000,241
7000,75,84000,238
5000,47,56000,396
48000,84,524000,218
8000,47,41000,499
91000,63,1835000,249
132000,60,1426000,206
20000,112,45000,201
12000,47,96000,363
162000,88,5132000,209
50000,75,1688000,204
12000,30,119000,313
60000,55,1518000,283
12000,43,88000,349
490000,86,9271000,199
15000,61,256000,358
71000,40,767000,220
17000,46,203000,291
9000,54,19000,397
280000,87,5846000,208
7000,63,88000,376
116000,78,2081000,224
29000,28,130000,213
3000,58,61000,489
6000,41,57000,468
68000,44,1167000,261
6000,31,33000,407
53000,54,1030000,238
38000,61,255000,208
7000,47,13000,383
26000,49,306000,203
24000,72,121000,206
275000,30,1485000,203
29000,51,399000,226
220000,54,832000,197
69000,40,221000,243
14000,102,71000,191
89000,32,1082000,193
8000,51,155000,466
6000,53,165000,323
36000,50,990000,220
8000,36,107000,350
5000,46,55000,404
44000,99,348000,195
10000,47,47000,543
90000,58,1984000,244
122000,68,2157000,184
15000,83,87000,240
10000,52,52000,355
146000,83,3757000,194
57000,48,1450000,204
12000,27,207000,420
58000,62,899000,294
12000,45,103000,451
490000,74,9428000,180
17000,50,357000,360
71000,38,809000,243
17000,53,225000,362
14000,67,38000,410
290000,66,9379000,179
7000,59,78000,404
126000,66,1164000,210
27000,42,147000,192
5000,52,62000,423
6000,38,50000,553
73000,44,1221000,180
5000,35,32000,444
52000,67,1603000,243
38000,77,146000,190
7000,52,33000,345
27000,46,261000,197
24000,69,99000,185
310000,36,2009000,204
32000,40,282000,224
215000,50,538000,243
96000,39,899000,269
16000,113,127000,231
97000,34,1253000,182
10000,48,77000,542
7000,62,208000,346
37000,48,746000,208
7000,48,54000,304
5000,46,48000,402
50000,86,301000,194
12000,34,65000,338
89000,60,1709000,237
124000,59,1390000,169
19000,85,113000,173
8000,62,30000,231
159000,77,3183000,177
48000,46,640000,191
12000,27,198000,709
64000,57,1167000,319
